bank_transaction_id,bank_reference,transaction_date,value_date,description,credit_amount,debit_amount,balance,bank_account,transaction_type
BNK1002,pay_1002,2026-08-04,2026-08-04,Razorpay Settlement - pay_1002 / ORD1002,33200.0,0.0,5033200.0,HDFC_DEMO_009988,CREDIT
BNK1003,pay_1003,2026-08-05,2026-08-05,Razorpay Settlement - pay_1003 / ORD1003,13000.0,0.0,5013000.0,HDFC_DEMO_009988,CREDIT
BNK1004,pay_1004,2026-08-06,2026-08-06,Razorpay Settlement - pay_1004 / ORD1004,35100.0,0.0,5035100.0,HDFC_DEMO_009988,CREDIT
BNK1005,pay_1005,2026-08-07,2026-08-07,Razorpay Settlement - pay_1005 / ORD1005,2100.0,0.0,5002100.0,HDFC_DEMO_009988,CREDIT
BNK1006,pay_1006,2026-08-08,2026-08-08,Razorpay Settlement - pay_1006 / ORD1006,12400.0,0.0,5012400.0,HDFC_DEMO_009988,CREDIT
BNK1007,pay_1007,2026-08-09,2026-08-09,Razorpay Settlement - pay_1007 / ORD1007,29200.0,0.0,5029200.0,HDFC_DEMO_009988,CREDIT
BNK1008,pay_1008,2026-08-10,2026-08-10,Razorpay Settlement - pay_1008 / ORD1008,11700.0,0.0,5011700.0,HDFC_DEMO_009988,CREDIT
BNK1009,pay_1009,2026-08-11,2026-08-11,Razorpay Settlement - pay_1009 / ORD1009,41900.0,0.0,5041900.0,HDFC_DEMO_009988,CREDIT
BNK1010,pay_1010,2026-08-12,2026-08-12,Razorpay Settlement - pay_1010 / ORD1010,36200.0,0.0,5036200.0,HDFC_DEMO_009988,CREDIT
BNK1011,pay_1011,2026-08-13,2026-08-13,Razorpay Settlement - pay_1011 / ORD1011,8400.0,0.0,5008400.0,HDFC_DEMO_009988,CREDIT
BNK1012,pay_1012,2026-08-14,2026-08-14,Razorpay Settlement - pay_1012 / ORD1012,5700.0,0.0,5005700.0,HDFC_DEMO_009988,CREDIT
BNK1013,pay_1013,2026-08-15,2026-08-15,Razorpay Settlement - pay_1013 / ORD1013,18800.0,0.0,5018800.0,HDFC_DEMO_009988,CREDIT
BNK1014,pay_1014,2026-08-16,2026-08-16,Razorpay Settlement - pay_1014 / ORD1014,41800.0,0.0,5041800.0,HDFC_DEMO_009988,CREDIT
BNK1015,pay_1015,2026-08-17,2026-08-17,Razorpay Settlement - pay_1015 / ORD1015,27900.0,0.0,5027900.0,HDFC_DEMO_009988,CREDIT
BNK1016,pay_1016,2026-08-18,2026-08-18,Razorpay Settlement - pay_1016 / ORD1016,4500.0,0.0,5004500.0,HDFC_DEMO_009988,CREDIT
BNK1017,pay_1017,2026-08-19,2026-08-19,Razorpay Settlement - pay_1017 / ORD1017,30000.0,0.0,5030000.0,HDFC_DEMO_009988,CREDIT
BNK1018,pay_1018,2026-08-20,2026-08-20,Razorpay Settlement - pay_1018 / ORD1018,2800.0,0.0,5002800.0,HDFC_DEMO_009988,CREDIT
BNK1019,pay_1019,2026-08-21,2026-08-21,Razorpay Settlement - pay_1019 / ORD1019,4500.0,0.0,5004500.0,HDFC_DEMO_009988,CREDIT
BNK1020,pay_1020,2026-08-22,2026-08-22,Razorpay Settlement - pay_1020 / ORD1020,19900.0,0.0,5019900.0,HDFC_DEMO_009988,CREDIT
BNK1021,pay_1021,2026-08-23,2026-08-23,Razorpay Settlement - pay_1021 / ORD1021,8800.0,0.0,5008800.0,HDFC_DEMO_009988,CREDIT
BNK1022,pay_1022,2026-08-24,2026-08-24,Razorpay Settlement - pay_1022 / ORD1022,34800.0,0.0,5034800.0,HDFC_DEMO_009988,CREDIT
BNK1023,pay_1023,2026-08-25,2026-08-25,Razorpay Settlement - pay_1023 / ORD1023,31600.0,0.0,5031600.0,HDFC_DEMO_009988,CREDIT
BNK1024,pay_1024,2026-08-26,2026-08-26,Razorpay Settlement - pay_1024 / ORD1024,8800.0,0.0,5008800.0,HDFC_DEMO_009988,CREDIT
BNK1025,pay_1025,2026-08-02,2026-08-02,Razorpay Settlement - pay_1025 / ORD1025,47800.0,0.0,5047800.0,HDFC_DEMO_009988,CREDIT
BNK1026,pay_1026,2026-08-03,2026-08-03,Razorpay Settlement - pay_1026 / ORD1026,43600.0,0.0,5043600.0,HDFC_DEMO_009988,CREDIT
BNK1027,pay_1027,2026-08-04,2026-08-04,Razorpay Settlement - pay_1027 / ORD1027,41700.0,0.0,5041700.0,HDFC_DEMO_009988,CREDIT
BNK1028,pay_1028,2026-08-05,2026-08-05,Razorpay Settlement - pay_1028 / ORD1028,3800.0,0.0,5003800.0,HDFC_DEMO_009988,CREDIT
BNK1029,pay_1029,2026-08-06,2026-08-06,Razorpay Settlement - pay_1029 / ORD1029,11300.0,0.0,5011300.0,HDFC_DEMO_009988,CREDIT
