invoice_id,order_id,customer_id,customer_name,invoice_amount,expected_payment,invoice_date,payment_status,reference_id
INV1002,ORD1002,CUST_003,Customer 003,33200.0,33200.0,2026-08-03,PAID,pay_1002
INV1003,ORD1003,CUST_004,Customer 004,13000.0,13000.0,2026-08-04,PAID,pay_1003
INV1004,ORD1004,CUST_005,Customer 005,35100.0,35100.0,2026-08-05,PAID,pay_1004
INV1005,ORD1005,CUST_006,Customer 006,2100.0,2100.0,2026-08-06,PAID,pay_1005
INV1006,ORD1006,CUST_007,Customer 007,12400.0,12400.0,2026-08-07,PAID,pay_1006
INV1007,ORD1007,CUST_008,Customer 008,29200.0,29200.0,2026-08-08,PAID,pay_1007
INV1008,ORD1008,CUST_009,Customer 009,11700.0,11700.0,2026-08-09,PAID,pay_1008
INV1009,ORD1009,CUST_010,Customer 010,41900.0,41900.0,2026-08-10,PAID,pay_1009
INV1010,ORD1010,CUST_011,Customer 011,36200.0,36200.0,2026-08-11,PAID,pay_1010
INV1011,ORD1011,CUST_012,Customer 012,8400.0,8400.0,2026-08-12,PAID,pay_1011
INV1012,ORD1012,CUST_013,Customer 013,5700.0,5700.0,2026-08-13,PAID,pay_1012
INV1013,ORD1013,CUST_014,Customer 014,18800.0,18800.0,2026-08-14,PAID,pay_1013
INV1014,ORD1014,CUST_015,Customer 015,41800.0,41800.0,2026-08-15,PAID,pay_1014
INV1015,ORD1015,CUST_016,Customer 016,27900.0,27900.0,2026-08-16,PAID,pay_1015
INV1016,ORD1016,CUST_017,Customer 017,4500.0,4500.0,2026-08-17,PAID,pay_1016
INV1017,ORD1017,CUST_018,Customer 018,30000.0,30000.0,2026-08-18,PAID,pay_1017
INV1018,ORD1018,CUST_019,Customer 019,2800.0,2800.0,2026-08-19,PAID,pay_1018
INV1019,ORD1019,CUST_020,Customer 020,4500.0,4500.0,2026-08-20,PAID,pay_1019
INV1020,ORD1020,CUST_021,Customer 021,19900.0,19900.0,2026-08-21,PAID,pay_1020
INV1021,ORD1021,CUST_022,Customer 022,8800.0,8800.0,2026-08-22,PAID,pay_1021
INV1022,ORD1022,CUST_023,Customer 023,34800.0,34800.0,2026-08-23,PAID,pay_1022
INV1023,ORD1023,CUST_024,Customer 024,31600.0,31600.0,2026-08-24,PAID,pay_1023
INV1024,ORD1024,CUST_025,Customer 025,8800.0,8800.0,2026-08-25,PAID,pay_1024
INV1025,ORD1025,CUST_026,Customer 026,47800.0,47800.0,2026-08-01,PAID,pay_1025
INV1026,ORD1026,CUST_027,Customer 027,43600.0,43600.0,2026-08-02,PAID,pay_1026
INV1027,ORD1027,CUST_028,Customer 028,41700.0,41700.0,2026-08-03,PAID,pay_1027
INV1028,ORD1028,CUST_029,Customer 029,3800.0,3800.0,2026-08-04,PAID,pay_1028
INV1029,ORD1029,CUST_030,Customer 030,11300.0,11300.0,2026-08-05,PAID,pay_1029
INV1030,ORD1030,CUST_031,Customer 031,7800.0,7800.0,2026-08-06,PAID,pay_1030
INV1031,ORD1031,CUST_032,Customer 032,38600.0,38600.0,2026-08-07,PAID,pay_1031
INV1032,ORD1032,CUST_033,Customer 033,38700.0,38700.0,2026-08-08,PAID,pay_1032
INV1033,ORD1033,CUST_034,Customer 034,19000.0,19000.0,2026-08-09,PAID,pay_1033
INV1034,ORD1034,CUST_035,Customer 035,5100.0,5100.0,2026-08-10,PAID,pay_1034
INV1035,ORD1035,CUST_036,Customer 036,8300.0,8300.0,2026-08-11,PAID,pay_1035
INV1036,ORD1036,CUST_037,Customer 037,31000.0,31000.0,2026-08-12,PAID,pay_1036
INV1037,ORD1037,CUST_038,Customer 038,31000.0,31000.0,2026-08-13,PAID,pay_1037
INV1038,ORD1038,CUST_039,Customer 039,28800.0,28800.0,2026-08-14,PAID,pay_1038
INV1039,ORD1039,CUST_040,Customer 040,35400.0,35400.0,2026-08-15,PAID,pay_1039
