gateway_transaction_id,payment_id,order_id,customer_id,amount,currency,payment_method,status,transaction_date,captured_at,fee,tax,net_amount
GW1002,pay_1002,ORD1002,CUST_003,33200.0,INR,NET_BANKING,captured,2026-08-03 11:01:00,2026-08-03 11:01:00,664.0,119.52,32416.48
GW1003,pay_1003,ORD1003,CUST_004,13000.0,INR,UPI,captured,2026-08-04 13:08:00,2026-08-04 13:08:00,260.0,46.8,12693.2
GW1004,pay_1004,ORD1004,CUST_005,35100.0,INR,DEBIT_CARD,captured,2026-08-05 18:05:00,2026-08-05 18:05:00,702.0,126.36,34271.64
GW1005,pay_1005,ORD1005,CUST_006,2100.0,INR,CREDIT_CARD,captured,2026-08-06 10:05:00,2026-08-06 10:05:00,42.0,7.56,2050.44
GW1006,pay_1006,ORD1006,CUST_007,12400.0,INR,UPI,captured,2026-08-07 18:38:00,2026-08-07 18:38:00,248.0,44.64,12107.36
GW1007,pay_1007,ORD1007,CUST_008,29200.0,INR,DEBIT_CARD,captured,2026-08-08 13:45:00,2026-08-08 13:45:00,584.0,105.12,28510.88
GW1008,pay_1008,ORD1008,CUST_009,11700.0,INR,NET_BANKING,captured,2026-08-09 17:37:00,2026-08-09 17:37:00,234.0,42.12,11423.88
GW1009,pay_1009,ORD1009,CUST_010,41900.0,INR,CREDIT_CARD,captured,2026-08-10 10:48:00,2026-08-10 10:48:00,838.0,150.84,40911.16
GW1010,pay_1010,ORD1010,CUST_011,36200.0,INR,NET_BANKING,captured,2026-08-11 16:21:00,2026-08-11 16:21:00,724.0,130.32,35345.68
GW1011,pay_1011,ORD1011,CUST_012,8400.0,INR,NET_BANKING,captured,2026-08-12 13:48:00,2026-08-12 13:48:00,168.0,30.24,8201.76
GW1012,pay_1012,ORD1012,CUST_013,5700.0,INR,UPI,captured,2026-08-13 11:24:00,2026-08-13 11:24:00,114.0,20.52,5565.48
GW1013,pay_1013,ORD1013,CUST_014,18800.0,INR,NET_BANKING,captured,2026-08-14 15:38:00,2026-08-14 15:38:00,376.0,67.68,18356.32
GW1014,pay_1014,ORD1014,CUST_015,41800.0,INR,DEBIT_CARD,captured,2026-08-15 10:46:00,2026-08-15 10:46:00,836.0,150.48,40813.52
GW1015,pay_1015,ORD1015,CUST_016,27900.0,INR,DEBIT_CARD,captured,2026-08-16 11:59:00,2026-08-16 11:59:00,558.0,100.44,27241.56
GW1016,pay_1016,ORD1016,CUST_017,4500.0,INR,NET_BANKING,captured,2026-08-17 18:18:00,2026-08-17 18:18:00,90.0,16.2,4393.8
GW1017,pay_1017,ORD1017,CUST_018,30000.0,INR,UPI,captured,2026-08-18 13:45:00,2026-08-18 13:45:00,600.0,108.0,29292.0
GW1018,pay_1018,ORD1018,CUST_019,2800.0,INR,NET_BANKING,captured,2026-08-19 13:49:00,2026-08-19 13:49:00,56.0,10.08,2733.92
GW1019,pay_1019,ORD1019,CUST_020,4500.0,INR,UPI,captured,2026-08-20 13:55:00,2026-08-20 13:55:00,90.0,16.2,4393.8
GW1020,pay_1020,ORD1020,CUST_021,19900.0,INR,NET_BANKING,captured,2026-08-21 14:29:00,2026-08-21 14:29:00,398.0,71.64,19430.36
GW1021,pay_1021,ORD1021,CUST_022,8800.0,INR,CREDIT_CARD,captured,2026-08-22 15:22:00,2026-08-22 15:22:00,176.0,31.68,8592.32
