scenario_id,scenario_type,payment_id,gateway_transaction_id,bank_transaction_id,erp_invoice_id,order_id,customer_id,ground_truth_status,expected_action,anomaly_flag,description
SCN_1002,EXACT_MATCH,pay_1002,GW1002,BNK1002,INV1002,ORD1002,CUST_003,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1003,EXACT_MATCH,pay_1003,GW1003,BNK1003,INV1003,ORD1003,CUST_004,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1004,EXACT_MATCH,pay_1004,GW1004,BNK1004,INV1004,ORD1004,CUST_005,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1005,EXACT_MATCH,pay_1005,GW1005,BNK1005,INV1005,ORD1005,CUST_006,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1006,EXACT_MATCH,pay_1006,GW1006,BNK1006,INV1006,ORD1006,CUST_007,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1007,EXACT_MATCH,pay_1007,GW1007,BNK1007,INV1007,ORD1007,CUST_008,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1008,EXACT_MATCH,pay_1008,GW1008,BNK1008,INV1008,ORD1008,CUST_009,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1009,EXACT_MATCH,pay_1009,GW1009,BNK1009,INV1009,ORD1009,CUST_010,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1010,EXACT_MATCH,pay_1010,GW1010,BNK1010,INV1010,ORD1010,CUST_011,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1011,EXACT_MATCH,pay_1011,GW1011,BNK1011,INV1011,ORD1011,CUST_012,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1012,EXACT_MATCH,pay_1012,GW1012,BNK1012,INV1012,ORD1012,CUST_013,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1013,EXACT_MATCH,pay_1013,GW1013,BNK1013,INV1013,ORD1013,CUST_014,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_1014,EXACT_MATCH,pay_1014,GW1014,BNK1014,INV1014,ORD1014,CUST_015,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
