bank_transaction_id,bank_reference,transaction_date,value_date,description,credit_amount,debit_amount,balance,bank_account,transaction_type
HO_BNK5002,HO_pay_5002,2026-08-04,2026-08-04,Razorpay Settlement - HO_pay_5002 / HO_ORD5002,40500.0,0.0,5040500.0,HDFC_DEMO_009988,CREDIT
HO_BNK5003,HO_pay_5003,2026-08-05,2026-08-05,Razorpay Settlement - HO_pay_5003 / HO_ORD5003,25200.0,0.0,5025200.0,HDFC_DEMO_009988,CREDIT
HO_BNK5004,HO_pay_5004,2026-08-06,2026-08-06,Razorpay Settlement - HO_pay_5004 / HO_ORD5004,33400.0,0.0,5033400.0,HDFC_DEMO_009988,CREDIT
HO_BNK5005,HO_pay_5005,2026-08-07,2026-08-07,Razorpay Settlement - HO_pay_5005 / HO_ORD5005,8100.0,0.0,5008100.0,HDFC_DEMO_009988,CREDIT
HO_BNK5006,HO_pay_5006,2026-08-08,2026-08-08,Razorpay Settlement - HO_pay_5006 / HO_ORD5006,36400.0,0.0,5036400.0,HDFC_DEMO_009988,CREDIT
HO_BNK5007,HO_pay_5007,2026-08-09,2026-08-09,Razorpay Settlement - HO_pay_5007 / HO_ORD5007,43100.0,0.0,5043100.0,HDFC_DEMO_009988,CREDIT
HO_BNK5008,HO_pay_5008,2026-08-10,2026-08-10,Razorpay Settlement - HO_pay_5008 / HO_ORD5008,1700.0,0.0,5001700.0,HDFC_DEMO_009988,CREDIT
HO_BNK5009,HO_pay_5009,2026-08-11,2026-08-11,Razorpay Settlement - HO_pay_5009 / HO_ORD5009,10000.0,0.0,5010000.0,HDFC_DEMO_009988,CREDIT
HO_BNK5010,HO_pay_5010,2026-08-12,2026-08-12,Razorpay Settlement - HO_pay_5010 / HO_ORD5010,28700.0,0.0,5028700.0,HDFC_DEMO_009988,CREDIT
HO_BNK5011,HO_pay_5011,2026-08-13,2026-08-13,Razorpay Settlement - HO_pay_5011 / HO_ORD5011,7100.0,0.0,5007100.0,HDFC_DEMO_009988,CREDIT
HO_BNK5012,HO_pay_5012,2026-08-14,2026-08-14,Razorpay Settlement - HO_pay_5012 / HO_ORD5012,38800.0,0.0,5038800.0,HDFC_DEMO_009988,CREDIT
HO_BNK5013,HO_pay_5013,2026-08-15,2026-08-15,Razorpay Settlement - HO_pay_5013 / HO_ORD5013,37400.0,0.0,5037400.0,HDFC_DEMO_009988,CREDIT
HO_BNK5014,HO_pay_5014,2026-08-16,2026-08-16,Razorpay Settlement - HO_pay_5014 / HO_ORD5014,44000.0,0.0,5044000.0,HDFC_DEMO_009988,CREDIT
HO_BNK5015,HO_pay_5015,2026-08-17,2026-08-17,Razorpay Settlement - HO_pay_5015 / HO_ORD5015,47100.0,0.0,5047100.0,HDFC_DEMO_009988,CREDIT
HO_BNK5016,HO_pay_5016,2026-08-18,2026-08-18,Razorpay Settlement - HO_pay_5016 / HO_ORD5016,22300.0,0.0,5022300.0,HDFC_DEMO_009988,CREDIT
HO_BNK5017,HO_pay_5017,2026-08-19,2026-08-19,Razorpay Settlement - HO_pay_5017 / HO_ORD5017,11200.0,0.0,5011200.0,HDFC_DEMO_009988,CREDIT
HO_BNK5018,HO_pay_5018,2026-08-20,2026-08-20,Razorpay Settlement - HO_pay_5018 / HO_ORD5018,11100.0,0.0,5011100.0,HDFC_DEMO_009988,CREDIT
HO_BNK5019,HO_pay_5019,2026-08-21,2026-08-21,Razorpay Settlement - HO_pay_5019 / HO_ORD5019,8000.0,0.0,5008000.0,HDFC_DEMO_009988,CREDIT
HO_BNK5020,HO_pay_5020,2026-08-22,2026-08-22,Razorpay Settlement - HO_pay_5020 / HO_ORD5020,44500.0,0.0,5044500.0,HDFC_DEMO_009988,CREDIT
HO_BNK5021,HO_pay_5021,2026-08-23,2026-08-23,Razorpay Settlement - HO_pay_5021 / HO_ORD5021,41700.0,0.0,5041700.0,HDFC_DEMO_009988,CREDIT
HO_BNK5022,HO_pay_5022,2026-08-24,2026-08-24,Razorpay Settlement - HO_pay_5022 / HO_ORD5022,39900.0,0.0,5039900.0,HDFC_DEMO_009988,CREDIT
HO_BNK5023,HO_pay_5023,2026-08-25,2026-08-25,Razorpay Settlement - HO_pay_5023 / HO_ORD5023,44300.0,0.0,5044300.0,HDFC_DEMO_009988,CREDIT
HO_BNK5024,HO_pay_5024,2026-08-26,2026-08-26,Razorpay Settlement - HO_pay_5024 / HO_ORD5024,27300.0,0.0,5027300.0,HDFC_DEMO_009988,CREDIT
HO_BNK5025,HO_pay_5025,2026-08-02,2026-08-02,Razorpay Settlement - HO_pay_5025 / HO_ORD5025,3100.0,0.0,5003100.0,HDFC_DEMO_009988,CREDIT
HO_BNK5026,HO_pay_5026,2026-08-03,2026-08-03,Razorpay Settlement - HO_pay_5026 / HO_ORD5026,23900.0,0.0,5023900.0,HDFC_DEMO_009988,CREDIT
HO_BNK5027,HO_pay_5027,2026-08-04,2026-08-04,Razorpay Settlement - HO_pay_5027 / HO_ORD5027,13300.0,0.0,5013300.0,HDFC_DEMO_009988,CREDIT
