invoice_id,order_id,customer_id,customer_name,invoice_amount,expected_payment,invoice_date,payment_status,reference_id
HO_INV5002,HO_ORD5002,CUST_003,Customer 003,40500.0,40500.0,2026-08-03,PAID,HO_pay_5002
HO_INV5003,HO_ORD5003,CUST_004,Customer 004,25200.0,25200.0,2026-08-04,PAID,HO_pay_5003
HO_INV5004,HO_ORD5004,CUST_005,Customer 005,33400.0,33400.0,2026-08-05,PAID,HO_pay_5004
HO_INV5005,HO_ORD5005,CUST_006,Customer 006,8100.0,8100.0,2026-08-06,PAID,HO_pay_5005
HO_INV5006,HO_ORD5006,CUST_007,Customer 007,36400.0,36400.0,2026-08-07,PAID,HO_pay_5006
HO_INV5007,HO_ORD5007,CUST_008,Customer 008,43100.0,43100.0,2026-08-08,PAID,HO_pay_5007
HO_INV5008,HO_ORD5008,CUST_009,Customer 009,1700.0,1700.0,2026-08-09,PAID,HO_pay_5008
HO_INV5009,HO_ORD5009,CUST_010,Customer 010,10000.0,10000.0,2026-08-10,PAID,HO_pay_5009
HO_INV5010,HO_ORD5010,CUST_011,Customer 011,28700.0,28700.0,2026-08-11,PAID,HO_pay_5010
HO_INV5011,HO_ORD5011,CUST_012,Customer 012,7100.0,7100.0,2026-08-12,PAID,HO_pay_5011
HO_INV5012,HO_ORD5012,CUST_013,Customer 013,38800.0,38800.0,2026-08-13,PAID,HO_pay_5012
HO_INV5013,HO_ORD5013,CUST_014,Customer 014,37400.0,37400.0,2026-08-14,PAID,HO_pay_5013
HO_INV5014,HO_ORD5014,CUST_015,Customer 015,44000.0,44000.0,2026-08-15,PAID,HO_pay_5014
HO_INV5015,HO_ORD5015,CUST_016,Customer 016,47100.0,47100.0,2026-08-16,PAID,HO_pay_5015
HO_INV5016,HO_ORD5016,CUST_017,Customer 017,22300.0,22300.0,2026-08-17,PAID,HO_pay_5016
HO_INV5017,HO_ORD5017,CUST_018,Customer 018,11200.0,11200.0,2026-08-18,PAID,HO_pay_5017
HO_INV5018,HO_ORD5018,CUST_019,Customer 019,11100.0,11100.0,2026-08-19,PAID,HO_pay_5018
HO_INV5019,HO_ORD5019,CUST_020,Customer 020,8000.0,8000.0,2026-08-20,PAID,HO_pay_5019
HO_INV5020,HO_ORD5020,CUST_021,Customer 021,44500.0,44500.0,2026-08-21,PAID,HO_pay_5020
HO_INV5021,HO_ORD5021,CUST_022,Customer 022,41700.0,41700.0,2026-08-22,PAID,HO_pay_5021
