gateway_transaction_id,payment_id,order_id,customer_id,amount,currency,payment_method,status,transaction_date,captured_at,fee,tax,net_amount
HO_GW5002,HO_pay_5002,HO_ORD5002,CUST_003,40500.0,INR,DEBIT_CARD,captured,2026-08-03 11:57:00,2026-08-03 11:57:00,810.0,145.8,39544.2
HO_GW5003,HO_pay_5003,HO_ORD5003,CUST_004,25200.0,INR,NET_BANKING,captured,2026-08-04 12:56:00,2026-08-04 12:56:00,504.0,90.72,24605.28
HO_GW5004,HO_pay_5004,HO_ORD5004,CUST_005,33400.0,INR,CREDIT_CARD,captured,2026-08-05 11:41:00,2026-08-05 11:41:00,668.0,120.24,32611.76
HO_GW5005,HO_pay_5005,HO_ORD5005,CUST_006,8100.0,INR,UPI,captured,2026-08-06 14:36:00,2026-08-06 14:36:00,162.0,29.16,7908.84
HO_GW5006,HO_pay_5006,HO_ORD5006,CUST_007,36400.0,INR,CREDIT_CARD,captured,2026-08-07 14:25:00,2026-08-07 14:25:00,728.0,131.04,35540.96
HO_GW5007,HO_pay_5007,HO_ORD5007,CUST_008,43100.0,INR,NET_BANKING,captured,2026-08-08 16:04:00,2026-08-08 16:04:00,862.0,155.16,42082.84
HO_GW5008,HO_pay_5008,HO_ORD5008,CUST_009,1700.0,INR,CREDIT_CARD,captured,2026-08-09 13:41:00,2026-08-09 13:41:00,34.0,6.12,1659.88
HO_GW5009,HO_pay_5009,HO_ORD5009,CUST_010,10000.0,INR,UPI,captured,2026-08-10 15:10:00,2026-08-10 15:10:00,200.0,36.0,9764.0
HO_GW5010,HO_pay_5010,HO_ORD5010,CUST_011,28700.0,INR,NET_BANKING,captured,2026-08-11 17:57:00,2026-08-11 17:57:00,574.0,103.32,28022.68
HO_GW5011,HO_pay_5011,HO_ORD5011,CUST_012,7100.0,INR,UPI,captured,2026-08-12 17:29:00,2026-08-12 17:29:00,142.0,25.56,6932.44
HO_GW5012,HO_pay_5012,HO_ORD5012,CUST_013,38800.0,INR,UPI,captured,2026-08-13 10:15:00,2026-08-13 10:15:00,776.0,139.68,37884.32
HO_GW5013,HO_pay_5013,HO_ORD5013,CUST_014,37400.0,INR,NET_BANKING,captured,2026-08-14 13:25:00,2026-08-14 13:25:00,748.0,134.64,36517.36
HO_GW5014,HO_pay_5014,HO_ORD5014,CUST_015,44000.0,INR,UPI,captured,2026-08-15 18:22:00,2026-08-15 18:22:00,880.0,158.4,42961.6
HO_GW5015,HO_pay_5015,HO_ORD5015,CUST_016,47100.0,INR,UPI,captured,2026-08-16 12:29:00,2026-08-16 12:29:00,942.0,169.56,45988.44
HO_GW5016,HO_pay_5016,HO_ORD5016,CUST_017,22300.0,INR,CREDIT_CARD,captured,2026-08-17 18:50:00,2026-08-17 18:50:00,446.0,80.28,21773.72
HO_GW5017,HO_pay_5017,HO_ORD5017,CUST_018,11200.0,INR,UPI,captured,2026-08-18 13:06:00,2026-08-18 13:06:00,224.0,40.32,10935.68
HO_GW5018,HO_pay_5018,HO_ORD5018,CUST_019,11100.0,INR,NET_BANKING,captured,2026-08-19 10:33:00,2026-08-19 10:33:00,222.0,39.96,10838.04
