scenario_id,scenario_type,payment_id,gateway_transaction_id,bank_transaction_id,erp_invoice_id,order_id,customer_id,ground_truth_status,expected_action,anomaly_flag,description
SCN_5002,EXACT_MATCH,HO_pay_5002,HO_GW5002,HO_BNK5002,HO_INV5002,HO_ORD5002,CUST_003,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_5003,EXACT_MATCH,HO_pay_5003,HO_GW5003,HO_BNK5003,HO_INV5003,HO_ORD5003,CUST_004,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_5004,EXACT_MATCH,HO_pay_5004,HO_GW5004,HO_BNK5004,HO_INV5004,HO_ORD5004,CUST_005,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_5005,EXACT_MATCH,HO_pay_5005,HO_GW5005,HO_BNK5005,HO_INV5005,HO_ORD5005,CUST_006,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_5006,EXACT_MATCH,HO_pay_5006,HO_GW5006,HO_BNK5006,HO_INV5006,HO_ORD5006,CUST_007,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_5007,EXACT_MATCH,HO_pay_5007,HO_GW5007,HO_BNK5007,HO_INV5007,HO_ORD5007,CUST_008,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_5008,EXACT_MATCH,HO_pay_5008,HO_GW5008,HO_BNK5008,HO_INV5008,HO_ORD5008,CUST_009,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_5009,EXACT_MATCH,HO_pay_5009,HO_GW5009,HO_BNK5009,HO_INV5009,HO_ORD5009,CUST_010,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_5010,EXACT_MATCH,HO_pay_5010,HO_GW5010,HO_BNK5010,HO_INV5010,HO_ORD5010,CUST_011,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_5011,EXACT_MATCH,HO_pay_5011,HO_GW5011,HO_BNK5011,HO_INV5011,HO_ORD5011,CUST_012,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_5012,EXACT_MATCH,HO_pay_5012,HO_GW5012,HO_BNK5012,HO_INV5012,HO_ORD5012,CUST_013,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
SCN_5013,EXACT_MATCH,HO_pay_5013,HO_GW5013,HO_BNK5013,HO_INV5013,HO_ORD5013,CUST_014,MATCHED,AUTO_RECONCILE,False,All three sources match within tolerance.
